"Salt Lake City city, Utah","200,567"
"Frisco city, Texas","200,490"
"Yonkers city, New York","200,370"
"Amarillo city, Texas","199,371"
"Glendale city, California","199,303"
"Huntington Beach city, California","199,223"
"McKinney city, Texas","199,177"
"Montgomery city, Alabama","198,525"
"Augusta-Richmond County consolidated government (balance), Georgia","197,888"
"Aurora city, Illinois","197,757"
"Akron city, Ohio","197,597"
"Little Rock city, Arkansas","197,312"
"Tempe city, Arizona","195,805"
"Columbus city, Georgia","195,769"
"Overland Park city, Kansas","195,494"
"Grand Prairie city, Texas","194,543"
"Tallahassee city, Florida","194,500"
"Cape Coral city, Florida","194,495"
"Mobile city, Alabama","188,720"
"Knoxville city, Tennessee","187,603"
"Shreveport city, Louisiana","187,112"
"Worcester city, Massachusetts","185,428"
"Ontario city, California","185,010"
"Vancouver city, Washington","184,463"
"Sioux Falls city, South Dakota","183,793"
"Chattanooga city, Tennessee","182,799"
"Brownsville city, Texas","182,781"
"Fort Lauderdale city, Florida","182,437"
"Providence city, Rhode Island","179,883"
"Newport News city, Virginia","179,225"
"Rancho Cucamonga city, California","177,603"
"Santa Rosa city, California","176,753"
"Peoria city, Arizona","175,961"
"Oceanside city, California","175,742"
"Elk Grove city, California","174,775"
"Salem city, Oregon","174,365"
"Pembroke Pines city, Florida","173,591"
"Eugene city, Oregon","172,622"
"Garden Grove city, California","171,644"
"Cary town, North Carolina","170,282"
"Fort Collins city, Colorado","170,243"
"Corona city, California","169,868"
"Springfield city, Missouri","167,882"
"Jackson city, Mississippi","160,628"
"Alexandria city, Virginia","159,428"
"Hayward city, California","159,203"
"Clarksville city, Tennessee","158,146"
"Lakewood city, Colorado","157,935"
"Lancaster city, California","157,601"
"Salinas city, California","155,465"
"Palmdale city, California","155,079"
"Hollywood city, Florida","154,817"
"Springfield city, Massachusetts","153,606"
"Macon-Bibb County, Georgia","153,159"
"Kansas City city, Kansas","152,960"
"Sunnyvale city, California","152,703"
"Pomona city, California","151,691"
"Killeen city, Texas","151,666"
"Escondido city, California","151,625"
"Pasadena city, Texas","151,227"
"Naperville city, Illinois","148,449"
"Bellevue city, Washington","148,164"
"Joliet city, Illinois","147,344"
"Murfreesboro city, Tennessee","146,900"
"Midland city, Texas","146,038"
"Rockford city, Illinois","145,609"
"Paterson city, New Jersey","145,233"
"Savannah city, Georgia","144,464"
"Bridgeport city, Connecticut","144,399"
"Torrance city, California","143,592"
"McAllen city, Texas","143,268"
"Syracuse city, New York","142,327"
"Surprise city, Arizona","141,664"
"Denton city, Texas","141,541"
"Roseville city, California","141,500"
"Thornton city, Colorado","141,464"
"Miramar city, Florida","141,191"
"Pasadena city, California","141,029"
"Mesquite city, Texas","140,937"
"Olathe city, Kansas","140,545"
"Dayton city, Ohio","140,407"
"Carrollton city, Texas","139,248"
"Waco city, Texas","139,236"
"Orange city, California","138,669"
"Fullerton city, California","138,632"
"Charleston city, South Carolina","137,566"
"West Valley City city, Utah","135,248"
"Visalia city, California","134,605"
"Hampton city, Virginia","134,510"
"Gainesville city, Florida","133,997"
"Warren city, Michigan","133,943"
"Coral Springs city, Florida","133,759"
"Cedar Rapids city, Iowa","133,562"
"Round Rock city, Texas","133,372"
"Sterling Heights city, Michigan","132,438"
"Kent city, Washington","132,319"
"Columbia city, South Carolina","131,674"
"Santa Clara city, California","130,365"
"New Haven city, Connecticut","130,250"
"Stamford city, Connecticut","129,638"
"Concord city, California","129,295"
"Elizabeth city, New Jersey","129,216"
"Athens-Clarke County unified government (balance), Georgia","126,913"
"Thousand Oaks city, California","126,813"
"Lafayette city, Louisiana","126,185"
"Simi Valley city, California","125,613"
"Topeka city, Kansas","125,310"
"Norman city, Oklahoma","124,880"
"Fargo city, North Dakota","124,662"
"Wilmington city, North Carolina","123,744"
"Abilene city, Texas","123,420"
"Odessa city, Texas","123,334"
"Columbia city, Missouri","123,195"
"Pearland city, Texas","122,460"
"Victorville city, California","122,385"
"Hartford city, Connecticut","122,105"
"Vallejo city, California","121,692"
"Allentown city, Pennsylvania","121,442"
"Berkeley city, California","121,363"
"Richardson city, Texas","121,323"
"Arvada city, Colorado","121,272"
"Ann Arbor city, Michigan","119,980"
"Rochester city, Minnesota","118,935"
"Cambridge city, Massachusetts","118,927"
"Sugar Land city, Texas","118,488"
"Lansing city, Michigan","118,210"
"Evansville city, Indiana","117,979"
"College Station city, Texas","117,911"
"Fairfield city, California","117,133"
"Clearwater city, Florida","116,946"
"Beaumont city, Texas","116,825"
"Independence city, Missouri","116,672"
"Provo city, Utah","116,618"
"West Jordan city, Utah","116,480"
"Murrieta city, California","116,223"
"Palm Bay city, Florida","115,552"
"El Monte city, California","115,487"
"Carlsbad city, California","115,382"
"North Charleston city, South Carolina","115,382"
"Temecula city, California","114,761"
"Clovis city, California","114,584"
"Springfield city, Illinois","114,230"
"Meridian city, Idaho","114,161"
"Westminster city, Colorado","113,166"
"Costa Mesa city, California","113,003"
"High Point city, North Carolina","112,791"
"Manchester city, New Hampshire","112,673"
"Pueblo city, Colorado","112,361"
"Lakeland city, Florida","112,136"
"Pompano Beach city, Florida","112,118"
"West Palm Beach city, Florida","111,955"
"Antioch city, California","111,502"
"Everett city, Washington","111,475"
"Downey city, California","111,126"
"Lowell city, Massachusetts","110,997"
"Centennial city, Colorado","110,937"
"Elgin city, Illinois","110,849"
"Richmond city, California","110,567"
"Peoria city, Illinois","110,417"
"Broken Arrow city, Oklahoma","110,198"
"Miami Gardens city, Florida","110,001"
"Billings city, Montana","109,577"
"Jurupa Valley city, California","109,527"
"Sandy Springs city, Georgia","109,452"
"Gresham city, Oregon","109,381"
"Lewisville city, Texas","109,212"
"Hillsboro city, Oregon","109,128"
"San Buenaventura (Ventura) city, California","109,106"
"Greeley city, Colorado","108,649"
"Inglewood city, California","108,151"
"Waterbury city, Connecticut","107,568"
"League City city, Texas","107,536"
"Santa Maria city, California","107,263"
"Tyler city, Texas","106,985"
"Davie town, Florida","106,306"
"Daly City city, California","106,280"
"Boulder city, Colorado","105,673"
"Allen city, Texas","105,623"
"West Covina city, California","105,101"
"Sparks city, Nevada","105,006"
"Wichita Falls city, Texas","104,683"
"Green Bay city, Wisconsin","104,578"
"San Mateo city, California","104,430"
"Norwalk city, California","103,949"
"Rialto city, California","103,526"
"Las Cruces city, New Mexico","103,432"
"Chico city, California","103,301"
"El Cajon city, California","102,708"
"Burbank city, California","102,511"
"South Bend city, Indiana","102,026"
"Renton city, Washington","101,751"
"Vista city, California","101,638"
"Davenport city, Iowa","101,590"
"Edinburg city, Texas","101,170"
"Tuscaloosa city, Alabama","101,129"
"Carmel city, Indiana","101,068"
"Spokane Valley city, Washington","101,060"
"San Angelo city, Texas","101,004"
"Vacaville city, California","100,670"
"Bend city, Oregon","100,421"
"Kenosha city, Wisconsin","99,944"
"Boca Raton city, Florida","99,805"
"Lee's Summit city, Missouri","99,357"
"Nampa city, Idaho","99,277"
"Rio Rancho city, New Mexico","99,178"
"South Fulton city, Georgia","99,155"
"Roanoke city, Virginia","99,143"
"Beaverton city, Oregon","99,037"
"Yuma city, Arizona","98,285"
"Lawrence city, Kansas","98,193"
"Orem city, Utah","97,828"
"Longmont city, Colorado","97,261"
"San Marcos city, California","96,664"
"Albany city, New York","96,460"
"Sandy city, Utah","96,380"
"Concord city, North Carolina","96,341"
"Federal Way city, Washington","96,289"
"Hesperia city, California","95,750"
"Brockton city, Massachusetts","95,708"
"Compton city, California","95,605"
"Flint city, Michigan","95,538"
"Erie city, Pennsylvania","95,508"
"New Bedford city, Massachusetts","95,363"
"Fishers city, Indiana","95,310"
"Sunrise city, Florida","95,166"
"Roswell city, Georgia","94,763"
"Menifee city, California","94,756"
"Tracy city, California","94,740"
"Plantation city, Florida","94,580"
"Quincy city, Massachusetts","94,470"
"Portsmouth city, Virginia","94,398"
"Mission Viejo city, California","94,381"
"Chino city, California","94,371"
"Lynn city, Massachusetts","94,299"
"Edmond city, Oklahoma","94,054"
"Dearborn city, Michigan","93,932"
"Livonia city, Michigan","93,665"
"Yakima city, Washington","93,637"
"South Gate city, California","93,444"
"Greenville city, North Carolina","93,400"
"Lawton city, Oklahoma","93,025"
"Kirkland city, Washington","93,010"
"Asheville city, North Carolina","92,870"
"Deltona city, Florida","92,757"
"Redding city, California","92,590"
"Bellingham city, Washington","92,314"
"Suffolk city, Virginia","92,108"
"Indio city, California","91,765"
"Mount Pleasant town, South Carolina","91,684"
"Carson city, California","91,394"
"Santa Barbara city, California","91,364"
"Conroe city, Texas","91,079"
"Westminster city, California","90,643"
"Santa Monica city, California","90,401"
"New Braunfels city, Texas","90,209"
"Livermore city, California","90,189"
"Palm Coast city, Florida","89,800"
"St. George city, Utah","89,587"
"Fall River city, Massachusetts","89,541"
"Nashua city, New Hampshire","89,355"
"Champaign city, Illinois","88,909"
"Miami Beach city, Florida","88,885"
"Norwalk city, Connecticut","88,816"
"San Leandro city, California","88,815"
"O'Fallon city, Missouri","88,673"
"Newton city, Massachusetts","88,414"
"Reading city, Pennsylvania","88,375"
"Avondale city, Arizona","87,931"
"Fort Smith city, Arkansas","87,891"
"Citrus Heights city, California","87,796"
"Ogden city, Utah","87,773"
"Fayetteville city, Arkansas","87,590"
"Fort Myers city, Florida","87,103"
"Goodyear city, Arizona","86,840"
"Bryan city, Texas","86,276"
"Waukegan city, Illinois","86,075"
"Hawthorne city, California","86,068"
"Redwood City city, California","85,925"
"Hoover city, Alabama","85,768"
"Bloomington city, Indiana","85,755"
"Duluth city, Minnesota","85,618"
"Lake Forest city, California","85,531"
"Hemet city, California","85,334"
"Whittier city, California","85,098"
"Clifton city, New Jersey","85,052"
"Largo city, Florida","84,948"
"Bloomington city, Minnesota","84,943"
"Danbury city, Connecticut","84,694"
"Santa Fe city, New Mexico","84,683"
"Johns Creek city, Georgia","84,579"
"Newport Beach city, California","84,534"
"Kennewick city, Washington","84,347"
"Mission city, Texas","84,331"
"Milpitas city, California","84,196"
"Troy city, Michigan","84,092"
"Chino Hills city, California","83,853"
"Alhambra city, California","83,750"
"Merced city, California","83,676"
"Trenton city, New Jersey","83,203"
"Franklin city, Tennessee","83,097"
"Medford city, Oregon","83,072"
"Melbourne city, Florida","83,029"
"Manteca city, California","83,028"
"Mountain View city, California","82,739"
"Sioux City city, Iowa","82,651"
"Lynchburg city, Virginia","82,168"
"Buena Park city, California","81,788"
"Pleasanton city, California","81,777"
"Longview city, Texas","81,631"
"Westland city, Michigan","81,511"
"Auburn city, Washington","81,464"
"Cranston city, Rhode Island","81,456"
"Somerville city, Massachusetts","81,360"
"Folsom city, California","81,328"
"Springdale city, Arkansas","81,125"
"Deerfield Beach city, Florida","81,066"
"Warwick city, Rhode Island","81,004"
"Cicero town, Illinois","80,796"
"Farmington Hills city, Michigan","80,612"
"Brooklyn Park city, Minnesota","80,389"
"Lawrence city, Massachusetts","80,028"
"Plymouth city, Minnesota","79,768"
"Buckeye city, Arizona","79,620"
"Georgetown city, Texas","79,604"
"Cedar Park city, Texas","79,462"
"Tustin city, California","79,348"
"Lakewood city, California","79,307"
"Perris city, California","79,291"
"Flower Mound town, Texas","79,135"
"Pharr city, Texas","79,112"
"Loveland city, Colorado","78,877"
"Boynton Beach city, Florida","78,679"
"New Rochelle city, New York","78,557"
"Temple city, Texas","78,439"
"Lake Charles city, Louisiana","78,396"
"Jonesboro city, Arkansas","78,394"
"Napa city, California","78,130"
"Parma city, Ohio","78,103"
"Layton city, Utah","78,014"
"Alameda city, California","77,624"
"Warner Robins city, Georgia","77,617"
"Rapid City city, South Dakota","77,503"
"Bloomington city, Illinois","77,330"
"Gastonia city, North Carolina","77,273"
"Baytown city, Texas","77,192"
"Upland city, California","77,140"
"Racine city, Wisconsin","76,760"
"Scranton city, Pennsylvania","76,653"
"South Jordan city, Utah","76,598"
"Bellflower city, California","76,435"
"Kalamazoo city, Michigan","76,200"
"San Ramon city, California","75,995"
"Bethlehem city, Pennsylvania","75,815"
"Wyoming city, Michigan","75,667"
"Hammond city, Indiana","75,522"
"Missoula city, Montana","75,516"
"Missouri City city, Texas","75,457"
"Pasco city, Washington","75,432"
"Baldwin Park city, California","75,251"
"Iowa City city, Iowa","75,130"
"Rancho Cordova city, California","75,087"
"Rock Hill city, South Carolina","75,048"
"Flagstaff city, Arizona","75,038"
"Gary city, Indiana","74,879"
"St. Joseph city, Missouri","74,875"
"Arlington Heights village, Illinois","74,760"
"Bolingbrook village, Illinois","74,545"
"Rochester Hills city, Michigan","74,516"
"Framingham city, Massachusetts","74,416"
"Union City city, California","74,107"
"Appleton city, Wisconsin","74,098"
"Turlock city, California","73,631"
"Camden city, New Jersey","73,562"
"Bismarck city, North Dakota","73,529"
"Evanston city, Illinois","73,473"
"Apple Valley town, California","73,453"
"Schaumburg village, Illinois","72,887"
"Woodbury city, Minnesota","72,828"
"Kissimmee city, Florida","72,717"
"Southfield city, Michigan","72,689"
"Maple Grove city, Minnesota","72,622"
"Pittsburg city, California","72,588"
"New Britain city, Connecticut","72,495"
"Jacksonville city, North Carolina","72,436"
"Mansfield city, Texas","72,419"
"Waukesha city, Wisconsin","72,299"
"Frederick city, Maryland","72,244"
"Albany city, Georgia","72,130"
"Pawtucket city, Rhode Island","72,117"
"Redmond city, Washington","71,929"
"Lauderhill city, Florida","71,868"
"Lafayette city, Indiana","71,721"
"Gulfport city, Mississippi","71,705"
"Redlands city, California","71,513"
"Weston city, Florida","71,166"
"St. Charles city, Missouri","71,028"
"Decatur city, Illinois","70,746"
"North Port city, Florida","70,724"
"North Richland Hills city, Texas","70,670"
"Greenville city, South Carolina","70,635"
"Bowling Green city, Kentucky","70,543"
"Broomfield city, Colorado","70,465"
"Canton city, Ohio","70,447"
"Marysville city, Washington","70,298"
"Walnut Creek city, California","70,166"
"Wilmington city, Delaware","70,166"
"Camarillo city, California","69,888"
"Lynwood city, California","69,887"
"Lehi city, Utah","69,724"
"Passaic city, New Jersey","69,703"
"Homestead city, Florida","69,523"
"Delray Beach city, Florida","69,451"
"Davis city, California","69,413"
"Lake Elsinore city, California","69,283"
"Daytona Beach city, Florida","69,186"
"Dothan city, Alabama","68,941"
"Rocklin city, California","68,823"
"Eau Claire city, Wisconsin","68,802"
"Rogers city, Arkansas","68,669"
"Castle Rock town, Colorado","68,484"
"St. Cloud city, Minnesota","68,462"
"Bossier City city, Louisiana","68,159"
"Rockville city, Maryland","68,079"
"Muncie city, Indiana","67,999"
"Gaithersburg city, Maryland","67,985"
"Union City city, New Jersey","67,982"
"West Des Moines city, Iowa","67,899"
"South San Francisco city, California","67,789"
"Yorba Linda city, California","67,644"
"Conway city, Arkansas","67,638"
"Lodi city, California","67,586"
"Palatine village, Illinois","67,482"
"Ankeny city, Iowa","67,355"
"Mount Vernon city, New York","67,345"
"Rowlett city, Texas","67,339"
"Waterloo city, Iowa","67,328"
"Lakeville city, Minnesota","67,317"
"Alpharetta city, Georgia","67,213"
"Jackson city, Tennessee","67,191"
"Yuba City city, California","67,010"
"Oshkosh city, Wisconsin","67,004"
"Victoria city, Texas","66,916"
"Johnson City city, Tennessee","66,906"
"Redondo Beach city, California","66,749"
"Tamarac city, Florida","66,721"
"Laguna Niguel city, California","66,385"
"Eagan city, Minnesota","66,372"
"Kenner city, Louisiana","66,340"
"Auburn city, Alabama","66,259"
"Ames city, Iowa","66,258"
"Portland city, Maine","66,215"
"North Little Rock city, Arkansas","65,903"
"Sammamish city, Washington","65,892"
"Madera city, California","65,860"
"Shawnee city, Kansas","65,807"
"Jupiter town, Florida","65,791"
"Doral city, Florida","65,741"
"Blaine city, Minnesota","65,607"
"Tulare city, California","65,496"
"Youngstown city, Ohio","65,469"
"Wellington village, Florida","65,398"
"Pflugerville city, Texas","65,380"
"Palo Alto city, California","65,364"
"Schenectady city, New York","65,273"
"Harlingen city, Texas","65,022"
"Bayonne city, New Jersey","64,897"
"Eden Prairie city, Minnesota","64,893"
"Port Orange city, Florida","64,842"
"Dublin city, California","64,826"
"San Marcos city, Texas","64,776"
"Noblesville city, Indiana","64,668"
"Santa Cruz city, California","64,608"
"Janesville city, Wisconsin","64,575"
"San Clemente city, California","64,558"
"Brentwood city, California","64,474"
"East Orange city, New Jersey","64,367"
"Cheyenne city, Wyoming","64,235"
"Eastvale city, California","64,157"
"Chapel Hill town, North Carolina","64,051"
"Haverhill city, Massachusetts","64,014"
"Lorain city, Ohio","63,855"
"Grand Junction city, Colorado","63,597"
"Springfield city, Oregon","63,230"
"Coon Rapids city, Minnesota","62,998"
"Idaho Falls city, Idaho","62,888"
"North Miami city, Florida","62,822"
"Encinitas city, California","62,709"
"Skokie village, Illinois","62,700"
"Leander city, Texas","62,608"
"Waltham city, Massachusetts","62,495"
"Council Bluffs city, Iowa","62,166"
"Hamilton city, Ohio","62,082"
"Moore city, Oklahoma","62,055"
"Pico Rivera city, California","62,027"
"Montebello city, California","61,954"
"Millcreek city, Utah","61,450"
"Sanford city, Florida","61,448"
"National City city, California","61,394"
"Burnsville city, Minnesota","61,339"
"Coconut Creek city, Florida","61,248"
"Lakewood city, Washington","61,037"
"Taylor city, Michigan","60,922"
"Novi city, Michigan","60,896"
"Marietta city, Georgia","60,867"
"Ocala city, Florida","60,786"
"Terre Haute city, Indiana","60,622"
"Woodland city, California","60,548"
"Petaluma city, California","60,520"
"La Habra city, California","60,513"
"Malden city, Massachusetts","60,470"
"Commerce City city, Colorado","60,336"
"Owensboro city, Kentucky","60,131"
"Bristol city, Connecticut","59,947"
"West Allis city, Wisconsin","59,890"
"Taylorsville city, Utah","59,805"
"Utica city, New York","59,750"
"Monterey Park city, California","59,669"
"Bonita Springs city, Florida","59,637"
"Porterville city, California","59,599"
"Greenwood city, Indiana","59,458"
"Bartlett city, Tennessee","59,440"
"Bradenton city, Florida","59,439"
"Vineland city, New Jersey","59,439"
"Pontiac city, Michigan","59,438"
"Meriden city, Connecticut","59,395"
"Gardena city, California","59,329"
"Apex town, North Carolina","59,300"
"Royal Oak city, Michigan","59,277"
"Cupertino city, California","59,276"
"Lancaster city, Pennsylvania","59,265"
"La Mesa city, California","59,249"
"Gilroy city, California","59,032"
"St. Clair Shores city, Michigan","58,984"
"Des Plaines city, Illinois","58,899"
"Springfield city, Ohio","58,877"
"Corvallis city, Oregon","58,856"
"Margate city, Florida","58,796"
"Bowie city, Maryland","58,643"
"Casa Grande city, Arizona","58,632"
"Caldwell city, Idaho","58,481"
"San Rafael city, California","58,440"
"Great Falls city, Montana","58,434"
"Sarasota city, Florida","58,285"
"Richland city, Washington","58,225"
"St. Peters city, Missouri","58,212"
"Hendersonville city, Tennessee","58,113"
"White Plains city, New York","58,109"
"Huntersville town, North Carolina","58,098"
"Santee city, California","58,081"
"Kokomo city, Indiana","58,020"
"Arcadia city, California","57,939"
"Casper city, Wyoming","57,931"
"Dubuque city, Iowa","57,882"
"Orland Park village, Illinois","57,857"
"Weymouth Town city, Massachusetts","57,746"
"Parker town, Colorado","57,706"
"Palm Beach Gardens city, Florida","57,704"
"Hanford city, California","57,703"
"Huntington Park city, California","57,509"
"Taunton city, Massachusetts","57,464"
"Midwest City city, Oklahoma","57,407"
"Medford city, Massachusetts","57,341"
"Euless city, Texas","57,197"
"Shoreline city, Washington","57,027"
"Smyrna city, Georgia","56,666"
"Pocatello city, Idaho","56,637"
"Valdosta city, Georgia","56,457"
"Carson City, Nevada","55,916"
"Lake Havasu City city, Arizona","55,865"
"Grand Forks city, North Dakota","55,839"
"Blue Springs city, Missouri","55,829"
"Southaven city, Mississippi","55,780"
"Tinley Park village, Illinois","55,773"
"Diamond Bar city, California","55,720"
"New Brunswick city, New Jersey","55,676"
"Lenexa city, Kansas","55,625"
"Brookhaven city, Georgia","55,554"
"Novato city, California","55,516"
"Tigard city, Oregon","55,514"
"Highland city, California","55,417"
"Fountain Valley city, California","55,357"
"Dearborn Heights city, Michigan","55,353"
"Albany city, Oregon","55,338"
"Grapevine city, Texas","55,281"
"Apple Valley city, Minnesota","55,135"
"Chicopee city, Massachusetts","55,126"
"Hempstead village, New York","55,113"
"Oak Lawn village, Illinois","55,022"
"Cathedral City city, California","55,007"
"Bentonville city, Arkansas","54,909"
"Stonecrest city, Georgia","54,903"
"Kettering city, Ohio","54,855"
"Colton city, California","54,824"
"Anderson city, Indiana","54,765"
"West Haven city, Connecticut","54,620"
"Burlington city, North Carolina","54,606"
"Manhattan city, Kansas","54,604"
"St. Cloud city, Florida","54,579"
"Normal town, Illinois","54,469"
"Decatur city, Alabama","54,445"
"Berwyn city, Illinois","54,391"
"Port Arthur city, Texas","54,280"
"Kingsport city, Tennessee","54,127"
"Minnetonka city, Minnesota","54,064"
"Rosemead city, California","54,058"
"Paramount city, California","53,955"
"Rocky Mount city, North Carolina","53,922"
"Yucaipa city, California","53,921"
"Watsonville city, California","53,856"
"Elyria city, Ohio","53,757"
"Leesburg town, Virginia","53,727"
"Mount Prospect village, Illinois","53,719"
"Pinellas Park city, Florida","53,637"
"Delano city, California","53,573"
"Bellevue city, Nebraska","53,544"
"West Sacramento city, California","53,519"
"Apopka city, Florida","53,447"
"Palm Desert city, California","53,275"
"Milford city (balance), Connecticut","53,195"
"Little Elm city, Texas","53,126"
"Revere city, Massachusetts","53,073"
"Peabody city, Massachusetts","53,070"
"Wylie city, Texas","53,067"
"Harrisonburg city, Virginia","53,016"
"DeSoto city, Texas","52,988"
"Pensacola city, Florida","52,975"
"Olympia city, Washington","52,882"
"Edina city, Minnesota","52,857"
"Wheaton city, Illinois","52,745"
"West New York town, New Jersey","52,723"
"Hoboken city, New Jersey","52,677"
"Lacey city, Washington","52,592"
"Summerville town, South Carolina","52,549"
"Coeur d'Alene city, Idaho","52,414"
"Oak Park village, Illinois","52,381"
"Elkhart city, Indiana","52,358"
"Maricopa city, Arizona","52,127"
"Kentwood city, Michigan","51,898"
"Madison city, Alabama","51,593"
"Smyrna town, Tennessee","51,586"
"Glendora city, California","51,544"
"Logan city, Utah","51,542"
"Burien city, Washington","51,500"
"Perth Amboy city, New Jersey","51,390"
"Herriman city, Utah","51,348"
"Grand Island city, Nebraska","51,267"
"Placentia city, California","51,233"
"La Crosse city, Wisconsin","51,227"
"Battle Creek city, Michigan","51,093"
"Beaumont city, California","51,063"
"Collierville town, Tennessee","51,040"
"West Lafayette city, Indiana","50,996"
"Florissant city, Missouri","50,952"
"Hoffman Estates village, Illinois","50,932"
"Joplin city, Missouri","50,925"
"Queen Creek town, Arizona","50,890"
"Aliso Viejo city, California","50,887"
"Kannapolis city, North Carolina","50,841"
"Methuen Town city, Massachusetts","50,706"
"Galveston city, Texas","50,446"
"Mishawaka city, Indiana","50,363"
"Plainfield city, New Jersey","50,317"
"Newark city, Ohio","50,315"
"Stillwater city, Oklahoma","50,299"
"Twin Falls city, Idaho","50,197"
"Texas City city, Texas","50,094"
"Cerritos city, California","49,859"
"Coral Gables city, Florida","49,700"
"Enid city, Oklahoma","49,688"
"Lakewood city, Ohio","49,678"
"Troy city, New York","49,154"
"Saginaw city, Michigan","48,115"
"Niagara Falls city, New York","47,720"
"Charleston city, West Virginia","46,536"
,
,
,
,
,
